en	nl
Contact support	Ondersteuning
**Contact support**	**Ondersteuning**
Open Sale	Verkoop openen
**Open Sale**	**Verkoop openen**
Attach documents	Documenten bijvoegen
**Attach documents**	**Documenten bijvoegen**
Remove as member	Als lid verwijderen
**Remove as member**	**Als lid verwijderen**
Copy into selection	Kopiëren naar selectie
**Copy into selection**	**Kopiëren naar selectie**
Add follow-ups	Vervolgact. toevoegen
**Add follow-ups**	**Vervolgact. toevoegen**
Open the document	Document openen
**Open the document**	**Document openen**
Send message	Verstuur bericht
**Send message**	**Verstuur bericht**
Add to new project	Toevoegen aan nieuw project
**Add to new project**	**Toevoegen aan nieuw project**
Clone contact	Clone person
**Clone contact**	**Clone person**
Open documents	Documenten openen
**Open documents**	**Documenten openen**
Mark as lost	Markeren als verloren
**Mark as lost**	**Markeren als verloren**
Appointment	Afspraak
**Appointment**	**Afspraak**
Appointments	Afspraken
**Appointments**	**Afspraken**
Follow-ups	Vervolgactiviteiten
**Follow-ups**	**Vervolgactiviteiten**
Tasks	Taken
**Tasks**	**Taken**
Phone Call	Gesprek
**Phone Call**	**Gesprek**
Phone calls	Telefoongesprekken
**Phone calls**	**Telefoongesprekken**
Phone call	Telefoongesprek
**Phone call**	**Telefoongesprek**
Make a phone call	Bellen
**Make a phone call**	**Bellen**
Call	Bellen
**Call**	**Bellen**
Tasks	Taken
**Tasks**	**Taken**
Task	Taak
**Task**	**Taak**
Document template	Documentsjabloon
**Document template**	**Documentsjabloon**
Document	Document
**Document**	**Document**
Documents	Documenten
**Documents**	**Documenten**
Document type	Documenttype
**Document type**	**Documenttype**
Company card	Bedrijfskaart
**Company card**	**Bedrijfskaart**
Contact card	Persoonskaart
**Contact card**	**Persoonskaart**
Project card	Projectkaart
**Project card**	**Projectkaart**
Selection card	Selectiekaart
**Selection card**	**Selectiekaart**
Sale card	Verkoopkaart
**Sale card**	**Verkoopkaart**
Panel	Venster
**Panel**	**Venster**
Web panel	Webpaneel
**Web panel**	**Webpaneel**
Web panels	Webpanelen
**Web panels**	**Webpanelen**
Find panel	Paneel Zoeken
**Find panel**	**Paneel Zoeken**
Side panels	Zijpanelen
**Side panels**	**Zijpanelen**
Side panel	Zijpaneel
**Side panel**	**Zijpaneel**
Cards	Kaarten
**Cards**	**Kaarten**
Dashboard	Dashboard
**Dashboard**	**Dashboard**
Dashboard panel	Dashboardpaneel
**Dashboard panel**	**Dashboardpaneel**
Tiles	Tegels
**Tiles**	**Tegels**
No tiles	Geen tegels
**No tiles**	**Geen tegels**
Diary	Agenda
**Diary**	**Agenda**
Inbox	Postvak IN
**Inbox**	**Postvak IN**
Users	Gebruikers
**Users**	**Gebruikers**
Other Users	Andere gebruikers
**Other Users**	**Andere gebruikers**
Navigator	Navigator
**Navigator**	**Navigator**
Relations	Relaties
**Relations**	**Relaties**
Relation	Relatie
**Relation**	**Relatie**
Request	Verzoek
**Request**	**Verzoek**
Messages	Berichten
**Messages**	**Berichten**
Message	Bericht
**Message**	**Bericht**
Dialog	Dialoogvenster
**Dialog**	**Dialoogvenster**
Filter Dialog	Dialoogvenster Filter
**Filter Dialog**	**Dialoogvenster Filter**
Document dialog	Dialoogvenster Document
**Document dialog**	**Dialoogvenster Document**
Find	Zoeken
**Find**	**Zoeken**
Find Company	Bedrijf zoeken
**Find Company**	**Bedrijf zoeken**
Find Contact	Persoon zoeken
**Find Contact**	**Persoon zoeken**
Find Project	Project zoeken
**Find Project**	**Project zoeken**
Find Follow-up	Vervolgactiviteit zoeken
**Find Follow-up**	**Vervolgactiviteit zoeken**
Find Date	Datum zoeken
**Find Date**	**Datum zoeken**
Find Request	Verzoek zoeken
**Find Request**	**Verzoek zoeken**
Find Selection	Selectie zoeken
**Find Selection**	**Selectie zoeken**
Find Document	Document zoeken
**Find Document**	**Document zoeken**
Find Mailing	Mailing zoeken
**Find Mailing**	**Mailing zoeken**
Find Sale	Verkoop zoeken
**Find Sale**	**Verkoop zoeken**
Find companies and contacts	Bedrijven en personen zoeken
**Find companies and contacts**	**Bedrijven en personen zoeken**
Find sales	Verkopen zoeken
**Find sales**	**Verkopen zoeken**
Find documents	Documenten zoeken
**Find documents**	**Documenten zoeken**
Find projects	Projecten zoeken
**Find projects**	**Projecten zoeken**
Find selections	Selecties zoeken
**Find selections**	**Selecties zoeken**
Find documents	Documenten zoeken
**Find documents**	**Documenten zoeken**
Find follow-ups	Vervolgactiviteiten zoeken
**Find follow-ups**	**Vervolgactiviteiten zoeken**
Freetext	Vrije tekst
**Freetext**	**Vrije tekst**
Freetext search	Zoeken op vrije tekst
**Freetext search**	**Zoeken op vrije tekst**
Quote	Offerte
**Quote**	**Offerte**
Quotes	Offerten
**Quotes**	**Offerten**
Quote connection	Offerteverbinding
**Quote connection**	**Offerteverbinding**
Quote alternative	Offerte-alternatief
**Quote alternative**	**Offerte-alternatief**
Quote version	Offerteversie
**Quote version**	**Offerteversie**
Product	Product
**Product**	**Product**
Products	Producten
**Products**	**Producten**
Product type	Producttype
**Product type**	**Producttype**
Product family	Productfamilie
**Product family**	**Productfamilie**
Product category	Productcategorie
**Product category**	**Productcategorie**
Find Product	Product zoeken
**Find Product**	**Product zoeken**
Mailings	Mailings
**Mailings**	**Mailings**
Mailing	Mailing
**Mailing**	**Mailing**
No Mailings	Geen mailings
**No Mailings**	**Geen mailings**
No mailings	Geen mailings
**No mailings**	**Geen mailings**

