en	de
Configure columns	Spalten konfigurieren
**Configure columns**	**Spalten konfigurieren**
Open contact	Person öffnen
**Open contact**	**Person öffnen**
Contact support	Support kontaktieren
**Contact support**	**Support kontaktieren**
Open Sale	Verkauf öffnen
**Open Sale**	**Verkauf öffnen**
Attach documents	Dokumente anhängen
**Attach documents**	**Dokumente anhängen**
Remove as member	Als Mitglied entfernen
**Remove as member**	**Als Mitglied entfernen**
Copy into selection	In Selektion kopieren
**Copy into selection**	**In Selektion kopieren**
Add follow-ups	Folgeaufgaben hinzufügen
**Add follow-ups**	**Folgeaufgaben hinzufügen**
Open the document	Dokument öffnen
**Open the document**	**Dokument öffnen**
Send message	Nachricht senden
**Send message**	**Nachricht senden**
Add to new project	Zu neuem Projekt hinzufügen
**Add to new project**	**Zu neuem Projekt hinzufügen**
Clone contact	Clone person
**Clone contact**	**Clone person**
Open documents	Dokumente öffnen
**Open documents**	**Dokumente öffnen**
Mark as lost	Als verloren markieren
**Mark as lost**	**Als verloren markieren**
Appointment	Termin
**Appointment**	**Termin**
Appointments	Termine
**Appointments**	**Termine**
Follow-ups	Folgeaufgaben
**Follow-ups**	**Folgeaufgaben**
Tasks	Aufgaben
**Tasks**	**Aufgaben**
Phone Call	Anruf
**Phone Call**	**Anruf**
Phone calls	Anrufe
**Phone calls**	**Anrufe**
Phone call	Anruf
**Phone call**	**Anruf**
Make a phone call	Anrufen
**Make a phone call**	**Anrufen**
Call	Anruf
**Call**	**Anruf**
Tasks	Aufgaben
**Tasks**	**Aufgaben**
Task	Aufgabe
**Task**	**Aufgabe**
Document template	Dokumentvorlage
**Document template**	**Dokumentvorlage**
Document	Dokument
**Document**	**Dokument**
Documents	Dokumente
**Documents**	**Dokumente**
Document type	Dokumententyp
**Document type**	**Dokumententyp**
Company card	Firmenkarte
**Company card**	**Firmenkarte**
Contact card	Personenkarte
**Contact card**	**Personenkarte**
Project card	Projektkarte
**Project card**	**Projektkarte**
Selection card	Selektionskarte
**Selection card**	**Selektionskarte**
Sale card	Verkaufskarte
**Sale card**	**Verkaufskarte**
Panel	Bildschirm
**Panel**	**Bildschirm**
Web panel	Web-Bildschirm
**Web panel**	**Web-Bildschirm**
Web panels	Web-Bildschirm
**Web panels**	**Web-Bildschirm**
Find panel	Bildschirm “Suchen”
**Find panel**	**Bildschirm “Suchen”**
Side panels	Seitenleisten
**Side panels**	**Seitenleisten**
Side panel	Seitenleiste
**Side panel**	**Seitenleiste**
Cards	Karten
**Cards**	**Karten**
Dashboard	Dashboard
**Dashboard**	**Dashboard**
Dashboard panel	Dashboard-Ansicht
**Dashboard panel**	**Dashboard-Ansicht**
Tiles	Kacheln
**Tiles**	**Kacheln**
No tiles	Keine Kacheln
**No tiles**	**Keine Kacheln**
Diary	Kalender
**Diary**	**Kalender**
Inbox	E-Mail
**Inbox**	**E-Mail**
Users	Benutzer
**Users**	**Benutzer**
Other Users	Andere Benutzer
**Other Users**	**Andere Benutzer**
Navigator	Navigator
**Navigator**	**Navigator**
Relations	Beziehungen
**Relations**	**Beziehungen**
Relation	Beziehung
**Relation**	**Beziehung**
Request	Anfrage
**Request**	**Anfrage**
Messages	Nachrichten
**Messages**	**Nachrichten**
Message	Nachricht
**Message**	**Nachricht**
Dialog	Dialogfeld
**Dialog**	**Dialogfeld**
Filter Dialog	Dialog 'Filter'
**Filter Dialog**	**Dialog 'Filter'**
Document dialog	Dialogfeld 'Dokument'
**Document dialog**	**Dialogfeld 'Dokument'**
Find	Suchen
**Find**	**Suchen**
Find Company	Firma suchen
**Find Company**	**Firma suchen**
Find Contact	Person suchen
**Find Contact**	**Person suchen**
Find Project	Projekt suchen
**Find Project**	**Projekt suchen**
Find Follow-up	Folgeaufgabe suchen
**Find Follow-up**	**Folgeaufgabe suchen**
Find Date	Datum suchen
**Find Date**	**Datum suchen**
Find Request	Anfrage suchen
**Find Request**	**Anfrage suchen**
Find Selection	Selektion suchen
**Find Selection**	**Selektion suchen**
Find Document	Dokument suchen
**Find Document**	**Dokument suchen**
Find Mailing	Kampagne suchen
**Find Mailing**	**Kampagne suchen**
Find Sale	Verkauf suchen
**Find Sale**	**Verkauf suchen**
Find companies and contacts	Firmen und Personen suchen
**Find companies and contacts**	**Firmen und Personen suchen**
Find sales	Verkäufe suchen
**Find sales**	**Verkäufe suchen**
Find documents	Dokumente suchen
**Find documents**	**Dokumente suchen**
Find projects	Projekte suchen
**Find projects**	**Projekte suchen**
Find selections	Selektionen suchen
**Find selections**	**Selektionen suchen**
Find documents	Dokumente suchen
**Find documents**	**Dokumente suchen**
Find follow-ups	Folgeaufgaben suchen
**Find follow-ups**	**Folgeaufgaben suchen**
Freetext	Volltextsuche
**Freetext**	**Volltextsuche**
Freetext search	Volltextsuche
**Freetext search**	**Volltextsuche**
Quote	Angebot
**Quote**	**Angebot**
Quotes	Angebote
**Quotes**	**Angebote**
Quote connection	Angebotsverbindung
**Quote connection**	**Angebotsverbindung**
Quote alternative	Alternative für Angebot
**Quote alternative**	**Alternative für Angebot**
Quote version	Angebotsversion
**Quote version**	**Angebotsversion**
Product	Produkt
**Product**	**Produkt**
Products	Produkte
**Products**	**Produkte**
Product type	Produkttyp
**Product type**	**Produkttyp**
Product family	Produktfamilie
**Product family**	**Produktfamilie**
Product category	Produktkategorie
**Product category**	**Produktkategorie**
Find Product	Produkt suchen
**Find Product**	**Produkt suchen**
Mailings	Kampagnen
**Mailings**	**Kampagnen**
Mailing	Kampagne
**Mailing**	**Kampagne**
No Mailings	Mailsperre
**No Mailings**	**Mailsperre**
No mailings	Mailsperre
**No mailings**	**Mailsperre**

